ngram,count
happiness,186
satisfaction,99
value,58
cardinal,51
bound,46
categories,32
health,30
happiness satisfaction,27
level happiness,26
economics,24
inequality indices,23
deviation,22
ordinal variables,21
status,21
inequality satisfaction,19
usa,19
happiness inequality,18
scale,18
literature,17
social,17
survey,17
achievement,16
distribution,16
measurement happiness,16
actual value,15
answers,15
country,15
population,15
research,15
results,15
wellbeing,15
